rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"22,500",2,2,Others,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 1/- (Non-Negotiable)Deposit₹ 65,000/-",Super Built up area 1000(92.9 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.)  sq.ft.,Semifurnished,Family Only," in Welworth Royal Orchard, Wireless Colony, , Pune, Maharashtra",6th   of 8 Floors,South-West,Vitrified,Yes,,1 Covered,Yes,,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
9500,1,1,Store Room,2,"Brokerage₹ 9,500/- (Non-Negotiable)Deposit₹ 25,000/-",Super Built up area 760(70.61 sq.m.)Built Up area: 733 sq.ft. (68.1 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.)  sq.ft.,Unfurnished,All," in Dheeraj Jade Residences, Wagholi, , Pune, Maharashtra",8th   of 11 Floors,East,Concrete,Yes,,1 Covered,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
"23,000",2,2,Others,2,"Maintenance₹ 1/- ((one time fee))Brokerage₹ 1/- (Non-Negotiable)Deposit₹ 80,000/-",Super Built up area 1040(96.62 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.)  sq.ft.,Unfurnished,All," in Naiknavare Sylvan Heights, Aundh, , Pune, Maharashtra",7th   of 12 Floors,South,Vitrified,Yes,,1 Covered,,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"35,000",3,3,Not given,3,"Brokerage₹ 35,000/-Deposit₹ 105,000/-",Carpet area: 1550 (144 sq.m.)  sq.ft.,Semifurnished,All," in Bramhacorp F Residences, Kalyani Nagar, , Pune, Maharashtra",15th   of 22 Floors,South-East,Others,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Partial,0 to 1 Year Old
"18,000",3,2,Store Room,2,"Maintenance₹ 1,500/- (/ month)Brokerage₹ 20,000/- (Negotiable)Deposit₹ 50,000/-",Super Built up area 939(87.24 sq.m.)Built Up area: 880 sq.ft. (81.75 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.)  sq.ft.,Semifurnished,Family Only," in Kumar KUL Sublime, Kondhwa, , Pune, Maharashtra",6th   of 10 Floors,South-West,Vitrified,Yes,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Partial,10+ Year Old
"18,000",3,2,Store Room,3,"Brokerage₹ 16,000/- (Negotiable)Deposit₹ 30,000/-",Built Up area: 1303 (121.05 sq.m.)  sq.ft.,Unfurnished,All," in on request, Dhanori, , Pune, Maharashtra",2nd   of 4 Floors,West,Vitrified,Yes,Yes,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"13,000",2,2,Others,3,"Brokerage₹ 13,000/- (Non-Negotiable)Deposit₹ 26,000/-",Super Built up area 950(88.26 sq.m.)  sq.ft.,Semifurnished,All," in on request, Wagholi, , Pune, Maharashtra",6th   of 11 Floors,East,Vitrified,Yes,,"1 Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
"11,800",1,2,Pooja Room,1,"Brokerage₹ 11,800/- (Negotiable)Deposit₹ 30,000/-",Built Up area: 693 (64.38 sq.m.)Carpet area: 484 sq.ft. (44.97 sq.m.)  sq.ft.,Unfurnished,All," in Sai Samrudhi, Ghorpadi, , Pune, Maharashtra",2nd   of 4 Floors,East,Vitrified,Yes,Yes,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
"13,000",1,1,Not given,1,"Brokerage₹ 13,000/- (Non-Negotiable)Deposit₹ 30,000/-",Built Up area: 650 (60.39 sq.m.)  sq.ft.,Unfurnished,All," in on request, Kharadi, , Pune, Maharashtra",2nd   of 4 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"14,500",2,2,Not given,2,"Brokerage₹ 14,500/- (Non-Negotiable)Deposit₹ 30,000/-",Super Built up area 863(80.18 sq.m.)Built Up area: 843 sq.ft. (78.32 sq.m.)Carpet area: 723 sq.ft. (67.17 sq.m.)  sq.ft.,Unfurnished,Family Only," in Ashiyana Angan, Tingre Nagar, , Pune, Maharashtra",2nd   of 4 Floors,East,Vitrified,Yes,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
