,locality
 Wagholi,431
 Hinjewadi,404
 Hadapsar,343
 Wakad,315
 Kharadi,289
 Baner,250
 Pimple Saudagar,187
 NIBM,151
 Kalyani Nagar,150
 Magarpatta,137
 Keshav Nagar,132
 Undri,132
 Aundh,130
 Dhanori,130
 Kothrud,130
 Viman Nagar,123
 Wanowrie,116
 Bavdhan,111
 Ravet,107
 Lohegaon,97
 Shankar Kalat Nagar,92
 Moshi,91
 Koregaon Park,89
 Kondhwa,85
 Pimple Gurav,84
 Punawale,83
 Balewadi,83
 Mohamadwadi,81
 Pimpri Chinchwad,78
 Eon Free Zone ,74
 Chinchwad,70
 Vishrantwadi,67
 Pimple Nilakh,65
 Phase-3 Hinjewadi ,65
 Sinhgad Road,65
 Rahatani,62
 Warje,60
 Dhayari,57
 Phursungi,57
 Thergaon,55
 Bibwewadi,55
 Narhe,52
 Tingre Nagar,50
 Chikhali,49
 Tulaja Bhawani Nagar,49
 Katraj,48
 Yerwada,46
 Handewadi,45
 Wadgaon Sheri,45
 Anand Nagar,44
 Lullanagar,44
 Kaspate Vasti,44
Kharadi,42
 Hinjewadi Phase 2,42
 Sus ,42
 Wanwadi,40
 Ambegaon Budruk,40
 Mhada Colony,40
 Karve Nagar,39
 Dange Chowk,39
Hadapsar,39
 Erandwane,36
 Hinjewadi Phase 1,36
 Pashan,35
 Sasane Nagar,34
 Vadgaon Sheri,33
 Pirangut,33
 Dighi,32
 Bhusari Colony,32
 Kondhwa Budruk,32
 Shastri Nagar,32
 Mundhwa,31
 Pisoli,31
 Akurdi,30
 Pimpri,29
 Mahalunge,29
Wadgaon Sheri,28
 Tathawade,28
 Salunke Vihar,28
 Talegaon,28
 Bhekrai Nagar,26
 Bhugaon,26
Lohegaon,25
 Ghorpadi,24
 Chakan,24
 Manjri,24
 Manjari Budruk,24
 Bopodi,23
 Madhav Nagar,23
 Talegaon Dabhade,23
 Fatima Nagar,22
 Dhankawadi,22
 Koregaon Park Annexe,22
 Yewalewadi,22
 Nigdi,21
 Marunji,21
 Warje Malwadi,20
 Vishal Nagar,20
 B.T Kawade Road,20
Kothrud,20
 Chandan Nagar,20
 Bhosari,20
Manjari Budruk,20
 Ambegaon Bk,20
Pimple Gurav,20
 Ambegaon,19
 Model Colony,19
 Sector-29 Ravet,19
Wagholi,19
 Chinchwad Gaon,19
 Ashoka Nagar,18
 Kalewadi,18
Keshav Nagar,18
 Pashan-Sus Road,17
 New Sanghvi,17
Vadgaon Sheri,17
 Shivane,17
 Sukhsagar Nagar,16
 Manjri BK,16
 Pandhari Nagar,16
 Kirkatwadi,16
 Baner Pashan Link Road,16
 Shivaji Nagar,15
 Prabhat Road,15
 Sadashiv Peth,15
 Kiwale,15
 Ubale Nagar,15
 Old Sangvi,15
 Manik Baug,15
 Clover Park,15
 Morwadi,15
 Loni Kalbhor,15
Pimpri Chinchwad,15
Dhanori,14
 Balewadi Phata,14
 Boat Club Road,14
 Rambaug Colony,14
 Laxman Nagar,14
 Kasarwadi,14
 Senapati Bapat Road,14
 Tukaram Nagar,14
 Hadapsar Gaon,14
 Charholi,14
 Thite Nagar,14
 Market yard,14
Nigdi,13
 Dahanukar Colony,13
 Sakore Nagar,13
 Wireless Colony,13
 Katraj Kondhwa Road,13
 Dhayari Phata ,13
Karve Nagar,13
 Paud Road,12
Baner,12
 Postal Colony,12
Mundhwa,12
 Ambegaon Pathar,12
 Pandhare Wasti,12
 Khandve Nagar,12
 Bhumkar Nagar,12
Chandan Nagar,11
Vishrantwadi,11
 Baner-Sus,11
 Siddartha Nagar,11
 Patil Nagar,11
Katraj,11
 Wadgaon Budruk,11
 Siddharth Nagar,11
 Somwar Peth,11
