rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
0," 12,500",2,2,Not given,1,,Carpet area: 794 (73.77 sq.m.)  sq.ft.,Unfurnished,Family Only," in Lunkad Blossoms, Wagholi, Pune, Kesnand phata, Wagholi, , Pune, Maharashtra",4th   of 5 Floors,East,,,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
1," 12,500",,,"Pooja Room,Study Room,Servant Room",0,"Deposit₹ 20,000/-",Plot area 675(62.71 sq.m.)  sq.ft.,Unfurnished,All," in Hinjewadi Phase 2, , Pune, Maharashtra",2nd   of 2 Floors,,,,,,,,None,1 Months,Charges not included,None,0 to 1 Year Old
2, 9000,1,1,Not given,,"Maintenance₹ 1,210/- (/ month)Deposit₹ 30,000/-",Built Up area: 623 (57.88 sq.m.)  sq.ft.,Unfurnished,All," in BK Chavan Sun Rise, Papde Wasti, , Pune, Maharashtra",3rd   of 6 Floors,,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
3," 30,000",2,2,Not given,3,"Deposit₹ 100,000/-",Super Built up area 1050(97.55 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Yogi Park, Koregaon Park, , Pune, Maharashtra",1st   of 3 Floors,,,,,1 Covered,,,12 Months,1 Months,Charges not included,None,10+ Year Old
4," 22,000",2,2,Not given,3+,"Deposit₹ 55,000/-",Super Built up area 1000(92.9 sq.m.)  sq.ft.,Semifurnished,All," in Leisure Town, Hadapsar, , Pune, Maharashtra",3rd   of 12 Floors,,,,,,,,None,0 Months,Charges not included,None,Under Construction
5, 8500,2,2,Not given,1,,Super Built up area 800(74.32 sq.m.)  sq.ft.,Unfurnished,All," in vaishnavi construction flat no 202, Manjri BK, , Pune, Maharashtra",2nd   of 5 Floors,,,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
6," 17,500",1,1,Not given,1,"Deposit₹ 70,000/-",Carpet area: 631 (58.62 sq.m.)  sq.ft.,Furnished,All," in Sonigara Park, Dange Chowk, , Pune, Maharashtra",7th   of 7 Floors,East,Vitrified,Yes,,,,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
7, 8500,1,1,Not given,1,"Deposit₹ 20,000/-",Carpet area: 550 (51.1 sq.m.)  sq.ft.,Semifurnished,All," in Malhar Apartments, Khese Park, , Pune, Maharashtra",1st   of 3 Floors,,,,,1 Open,,,None,1 Months,Charges not included,None,1 to 5 Year Old
8," 18,000",2,1,"Pooja Room,Store Room",,"Deposit₹ 40,000/-",Plot area 1200(111.48 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Men Only)"," in keshav Nagar Chinchwadgaon, , Pune, Maharashtra",,East,Others,,,"1 Covered, 1 Open",,,11 Months,2 Months,Charges not included,None,10+ Year Old
9," 17,000",2,2,Not given,2,"Deposit₹ 60,000/-",Built Up area: 1150 (106.84 sq.m.)  sq.ft.,Furnished,Family Only," in Siddhivinayak Wind Chime CHS, Pawna Nagar, , Pune, Maharashtra",7th   of 8 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
