rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"11,500",2,2,Not given,1,"Deposit₹ 25,000/-",Carpet area: 950 (88.26 sq.m.)  sq.ft.,Unfurnished,All," in Celebrations Apartment, Handewadi, , Pune, Maharashtra",2nd   of 5 Floors,North-East,Vitrified,Yes,,"1 Covered,  Open",,,11 Months,0 Months,Charges not included,None,1 to 5 Year Old
7500,1,1,Not given,1,"Maintenance₹ 750/- (/ month)Deposit₹ 20,000/-",Carpet area: 615 (57.14 sq.m.)  sq.ft.,Unfurnished,All," in Nishant Devyani Avenue, Phursungi, , Pune, Maharashtra",3rd   of 5 Floors,East,Marble,Yes,,,,,None,0 Months,Charges not included,Partial,5 to 10 Year Old
"16,000",2,2,Study Room,1,"Deposit₹ 45,000/-",Carpet area: 850 (78.97 sq.m.)  sq.ft.,Furnished,All," in The Construction Sunshine Hill View, Katraj, , Pune, Maharashtra",4th   of 4 Floors,West,,Yes,,1 Covered,,,None,0 Months,Charges not included,Full,10+ Year Old
8000,,1,Not given,1,"Deposit₹ 20,000/-",Carpet area: 385 (35.77 sq.m.)  sq.ft.,Furnished,All," in Naiknavare Gardenia, Vadgaon Sheri, , Pune, Maharashtra",4th   of 4 Floors,East,Ceramic,Yes,,,,Yes,11 Months,1 Months,Charges not included,None,10+ Year Old
"17,000",2,2,Not given,2,"Deposit₹ 50,000/-",Super Built up area 1006(93.46 sq.m.)  sq.ft.,Unfurnished,All," in Nirman Eternity, Pashan, , Pune, Maharashtra",1st   of 7 Floors,East,Vitrified,Yes,,"1 Covered,  Open",,,11 Months,0 Months,Charges not included,Full,5 to 10 Year Old
6500,1,1,Not given,,"Deposit₹ 15,000/-",Carpet area: 350 (32.52 sq.m.)  sq.ft.,Unfurnished,All," in Ganesh nagar lane no 1, Vadgaonsheri, , Pune, Maharashtra",1st   of 2 Floors,East,Ceramic,Yes,,1 Open,,,None,1 Months,Charges not included,None,5 to 10 Year Old
"10,000",1,1,Not given,1,"Maintenance₹ 400/- (/ month)Deposit₹ 20,000/-",Super Built up area 487(45.24 sq.m.)  sq.ft.,Unfurnished,All," in Mhaske Dream, Bopodi, , Pune, Maharashtra",2nd   of 4 Floors,South,Mosaic,Yes,,1 Open,,,11 Months,1 Months,Charges not included,None,10+ Year Old
8500,1,1,Not given,1,,Super Built up area 633(58.81 sq.m.)  sq.ft.,Unfurnished,All," in Giriraj Heights, Dighi, , Pune, Maharashtra",2nd   of 5 Floors,,,,,1 Open,,,None,0 Months,Charges included,None,1 to 5 Year Old
"12,000",1,1,Not given,1,,Plot area 525(48.77 sq.m.)  sq.ft.,Semifurnished,Bachelors (Men Only)," in sant tukaram nagar pimpri, Pimpri, , Pune, Maharashtra",,,,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
"14,000",1,1,Not given,,"Deposit₹ 40,000/-",Carpet area: 470 (43.66 sq.m.)  sq.ft.,Unfurnished,All," in Surajnagar Society  , Kothrud, , Pune, Maharashtra",2nd   of 3 Floors,South,Marble,,,,,,11 Months,1 Months,Charges not included,None,10+ Year Old
"10,500",1,1,Not given,1,"Deposit₹ 25,000/-",Carpet area: 450 (41.81 sq.m.)  sq.ft.,Unfurnished,All," in Clasic Panchavati, Ambegaon Bk, , Pune, Maharashtra",3rd   of 4 Floors,,Marble,,,"1 Covered,  Open",,,11 Months,1 Months,Charges included,Partial,1 to 5 Year Old
"14,000",1,1,Not given,1,"Deposit₹ 40,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Semifurnished,Family Only," in Sai Krishna Park, Thergaon, , Pune, Maharashtra",1st   of 3 Floors,East,,,,1 Open,,,None,0 Months,Charges not included,None,10+ Year Old
"16,000",2,2,Not given,1,"Deposit₹ 45,000/-",Carpet area: 815 (75.72 sq.m.)  sq.ft.,Unfurnished,Family Only," in Renuka Aangan, Pimpri Chinchwad, , Pune, Maharashtra",2nd   of 5 Floors,West,Granite,Yes,," Covered,  Open",,,36 Months,2 Months,Charges not included,None,10+ Year Old
